private_name	public_name	kind	private_source_path	public_source_path	private_type_sha256	public_type_sha256	namespace_normalized_type_sha256	type_identity_after_namespace_normalization	axiom_footprint	private_value_sha256	public_value_sha256	namespace_normalized_value_sha256	proof_body_changed_beyond_namespace_elaboration
Someone.GuideReceipt.witnessed	Continuity.Admission.GuideReceipt.witnessed	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	188418d30a8b220fae77e85a7a959ccfcbc875d2a7eeaff8ce11b9d1a665d952	545c82afe313c5e61c0daf25e130db7c42f652380faa00f3edef95ad5b3cae99	2462d5301faabac55546e8ec6ca871f67b8ef21f0c61940c7388ea8b743bacc8	true	AXIOM-FREE	4656ea83d139c64cf52f0770d62dae0ba0d4418f41c1db0329de91a86c08a021	2f588da97e3201eca121d66fb49089d29f963ce93ec3b822a41adc688fdd171a	3e18081409817a13a6d91db275ab4c90ac2b88d50b6d9bd8686763bb8c1cebfb	false
Someone.LineageClaim	Continuity.Admission.LineageClaim	inductive	someone/Someone.lean	formalization/Continuity/Admission.lean	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	true	AXIOM-FREE	-	-	-	false
Someone.LineageClaim._sizeOf_1	Continuity.Admission.LineageClaim._sizeOf_1	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	57f1dcb6685937b4802e797de05a1644b6479adacbb79edaba4a301dd8d33077	8246c5ba8cfdec6c2d6c1d9397cd4449602bb8e35e98ee48e2dc36c906bab3a3	b3cca9aadc18293b3f1af8ffc798fe627b705a1220e59f52dcb97ddae9818255	true	AXIOM-FREE	aca5cde4d8a9daad533903a615b2d52dc1649c166c6e474973c2065d013f6c5b	bae788efe71875190f4c5de1ec5baaa1e27c08f846dd4a3f42f88a00295b68bb	0d4347a617c096d0139d286f64ca0aaa6affa9211151d44afbfd5d40141a49f9	false
Someone.LineageClaim._sizeOf_inst	Continuity.Admission.LineageClaim._sizeOf_inst	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	74faa875d7bc04df96af1c59d7e621b667a9a1ad90a569305c45f53c5b617498	cef6b095b68f90092d0b278b0bad8443046a3617121acf7e7a4fd7b6f33a5c1c	74faa875d7bc04df96af1c59d7e621b667a9a1ad90a569305c45f53c5b617498	true	AXIOM-FREE	5426fadff422c94fd27bbb4da1d5e71077bb766e11649fa1cef4265f0ccae56d	808edd5b42e9be7f91e1e89ba54c3144d0bf694204028820477ce8c5ae69bbd7	3d14d8346b9db4c95da1258031f7869c2fa937b3136951a23a89634ed1bb5b5f	false
Someone.LineageClaim.casesOn	Continuity.Admission.LineageClaim.casesOn	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	fe6e7d17ba6c911169616388e6758816f655ba83451c3453a24b0f55248f0d04	6f2b2227a359d8964afd2db711ddef073a103284feb2a17a212ed0d3444424ef	33fcbc52fa29479f0d065c88c035c64d00ac959a6d8673a5a94f753155b6c630	true	AXIOM-FREE	15e424fb4350570f60a6cb840c97dbad588733de25e924ac8208a2c9cd28fa62	58f1969e081de3b2eaf2104f222e53ba55e0cff927ba59bd8bad245a414a819c	9d9ed391ee23874439fad116bd46eeddf5bb66a0fe729accc9ff2f6772599e5d	false
Someone.LineageClaim.cloneLine	Continuity.Admission.LineageClaim.cloneLine	constructor	someone/Someone.lean	formalization/Continuity/Admission.lean	1fe44a1e2dd6559ab85e3813e8d5d482a5bc950098a642643725af0f404078e2	b999ec568df8e9b135a101b3974718d7fab2ec1141a02960217a1ae48e1f7ab0	1fe44a1e2dd6559ab85e3813e8d5d482a5bc950098a642643725af0f404078e2	true	AXIOM-FREE	-	-	-	false
Someone.LineageClaim.cloneLine.elim	Continuity.Admission.LineageClaim.cloneLine.elim	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	a34cd003bf8c25266d0e5dc115715cca59104a1447edc1ebcc05f069d77ead2e	1b98b9003cecccd63eb3ceaa180102f58542a2b9c7a7730b5097d8af61fc57e0	346585f1cbfdf0ee41bb22a0f851ca2d4565b2f2147fcd1065f8c07a796dabdf	true	AXIOM-FREE	7fe26b74201448f9d2121f4e977e444b628416f43a5f59e5d685d8fe3ad56393	059aedf82bd726823e187b1bf37156778e8771f63c680877015cd6aca6f62fd2	91ab8c965b993a2f83b808094c14fac472cbba77ff5c9a6b3a8f3f1318a9a0f6	false
Someone.LineageClaim.cloneLine.sizeOf_spec	Continuity.Admission.LineageClaim.cloneLine.sizeOf_spec	theorem	someone/Someone.lean	formalization/Continuity/Admission.lean	f14415f794751ef4e6d33992660414d93a87b4bb01841662b6ebb7fd77fc03c2	130aad60872a98c4f53d2062b1cc8904be2df0b84e3e428891e1e874ce626bdf	2d4ffe578b460fe3d719c9cef9608b74d40cd853e154e48f2da6bef9f918b7ac	true	AXIOM-FREE	c3ce9e20e45db0ccb20faaab0c19785fa3f6fcf1aefeeef1c9aab9c83616c524	c3ce9e20e45db0ccb20faaab0c19785fa3f6fcf1aefeeef1c9aab9c83616c524	ae52979ae4bbde5815faba7c8ba901a974900786e16239deacf42c8e3045a692	false
Someone.LineageClaim.ctorElim	Continuity.Admission.LineageClaim.ctorElim	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	be2082142ede17b61b2b453f30b4164b6bcf44898df480c88fbd4faef2b71ae6	a3167bc158c24238a29d05b496eab6f0812b6f6bece79ab9ba65bf68016ad52e	3376b78ba795bb69aaf881e264821fe1bca3f1810e207f9af867d1f5600a8324	true	AXIOM-FREE	332b8fe47d4b7ff67b4c542341c0bcf72d8d93291b958a17b4c705e43a48f7ba	094922728d5d8de2165c590c153d04210a04381c8dda7adb4e6d059f1a17c0ee	b9984cef881ebd5214164adaae6807171546d1ed3eef4ccfdd4ec055c95ecf6f	false
Someone.LineageClaim.ctorElimType	Continuity.Admission.LineageClaim.ctorElimType	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	72110cb68d65921557682e72ee40ddc9b0c37a3cf601fca6bbd939313bfc6ecc	759590a523a2e57adb4e8cb03b09e1ff7748c7f2e2a9a5e7c02a2e5df43c9fd9	107a77a32302161324388547a4cc477e813151ae4090579b6947e1998b1adcf8	true	AXIOM-FREE	22090aa69d74843eaaaa51f29611879d34fb7781f8886762b8160fc48e5b1c75	6d793cfd817707f7f43aa020183ae06d0b4fcd820f26f65dadec1b7e43136259	dbda5d8df1bc133e64cdbd7cec460dcaea4ebe04562ec075acd9ae9cb429baa7	false
Someone.LineageClaim.ctorIdx	Continuity.Admission.LineageClaim.ctorIdx	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	57f1dcb6685937b4802e797de05a1644b6479adacbb79edaba4a301dd8d33077	8246c5ba8cfdec6c2d6c1d9397cd4449602bb8e35e98ee48e2dc36c906bab3a3	b3cca9aadc18293b3f1af8ffc798fe627b705a1220e59f52dcb97ddae9818255	true	AXIOM-FREE	1ec8bfe16d2fcdbc0450c656963b5dab546062066ffe8d7fe719c515323bbd0e	11e57e99f97e3192066b4ac75f12e76e7e67a16dc4bd6136f3a5e3a4c8dff501	7c85564ec992cdb93cb4d4a521158836dbd1cea8e94cc63a57f3920b10b02475	false
Someone.LineageClaim.familyName	Continuity.Admission.LineageClaim.familyName	constructor	someone/Someone.lean	formalization/Continuity/Admission.lean	1fe44a1e2dd6559ab85e3813e8d5d482a5bc950098a642643725af0f404078e2	b999ec568df8e9b135a101b3974718d7fab2ec1141a02960217a1ae48e1f7ab0	1fe44a1e2dd6559ab85e3813e8d5d482a5bc950098a642643725af0f404078e2	true	AXIOM-FREE	-	-	-	false
Someone.LineageClaim.familyName.elim	Continuity.Admission.LineageClaim.familyName.elim	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	ded2a517d869ac9f7b6c68f83dbd8e8256c38dd6aad0252a8361e3bffcdd65da	f4630927fb8d45fdc1d35d0043ac6b1a74c8886c852cfc58bf4a2e62a4a3f08c	6fc7f473bc768865c1b5ac1151efd186d42a235d33b1da8353d36a4568df4d00	true	AXIOM-FREE	0718d99913437004a820dee8f271cd63cf76d7219c388742b20c402727282de0	d8a2ca36875ba525ddaa4d7c1ec34540a0c2e93ab098c99842d77e00753ba108	5b839a4fe49621f48d0051af211ab134336529fe47d5fee50bba46a162b44d84	false
Someone.LineageClaim.familyName.sizeOf_spec	Continuity.Admission.LineageClaim.familyName.sizeOf_spec	theorem	someone/Someone.lean	formalization/Continuity/Admission.lean	cfc95c9a58691f30a5f9935f3a51ffd75d0d4d5984410dd1715481398d59c744	2177f388c6fb8b27aae793af8c224c0c5abaa364cb918bce238aa006b8710a24	e3dad2c083f872fc6c450ad6ae6b30b55a74e98c161321cbeb3ef816cbcb5b03	true	AXIOM-FREE	c3ce9e20e45db0ccb20faaab0c19785fa3f6fcf1aefeeef1c9aab9c83616c524	c3ce9e20e45db0ccb20faaab0c19785fa3f6fcf1aefeeef1c9aab9c83616c524	ae52979ae4bbde5815faba7c8ba901a974900786e16239deacf42c8e3045a692	false
Someone.LineageClaim.maker	Continuity.Admission.LineageClaim.maker	constructor	someone/Someone.lean	formalization/Continuity/Admission.lean	1fe44a1e2dd6559ab85e3813e8d5d482a5bc950098a642643725af0f404078e2	b999ec568df8e9b135a101b3974718d7fab2ec1141a02960217a1ae48e1f7ab0	1fe44a1e2dd6559ab85e3813e8d5d482a5bc950098a642643725af0f404078e2	true	AXIOM-FREE	-	-	-	false
